cluster,query,freq_band,intent,target_url,page_type,priority,title_draft,h1_draft
C,как настроить автовыдачу на funpay,mid,info,/blog/avtovydacha-na-funpay-bez-vps,article,P1,Как настроить автовыдачу на FunPay,Как настроить автовыдачу на FunPay
C,как настроить автоответы на funpay,mid,info,/blog/ai-avtootvety-dlya-funpay,article,P1,Как настроить автоответы на FunPay,Как настроить автоответы на FunPay
C,как использовать golden key funpay,mid,info,/blog/chto-takoe-golden-key-funpay,article,P1,Что такое Golden Key на FunPay,Что такое Golden Key на FunPay
C,облачная vs desktop автоматизация funpay,mid,info,/blog/oblachnaya-vs-desktop,article,P1,Облачная vs desktop автоматизация FunPay,Облачная vs desktop автоматизация FunPay
C,как увеличить продажи funpay,mid,info,/blog/kak-uvelichit-prodazhi-funpay,article,P1,Как увеличить продажи на FunPay,Как увеличить продажи на FunPay
C,funpay seller bot setup,low,info,/docs,support,P2,FunPay seller bot setup guide,FunPay seller bot setup guide
C,funpay ai assistant setup,low,info,/docs,support,P2,Настройка AI ассистента FunPay,Настройка AI ассистента FunPay
E,funpay cloud,high,nav,/,brand,P0,FunPay Cloud — автоматизация продаж на FunPay,FunPay Cloud
E,funpay cloud блог,low,nav,/blog,hub,P1,Блог FunPay Cloud,Блог FunPay Cloud
E,funpay cloud тарифы,low,nav,/pricing,support,P1,Тарифы FunPay Cloud,Тарифы FunPay Cloud
E,funpay cloud статус,low,nav,/status,support,P2,Статус FunPay Cloud,Статус системы FunPay Cloud
E,funpay cloud legal,low,nav,/legal,legal,P2,Юридические документы FunPay Cloud,Юридическая информация FunPay Cloud
G,автовыдача funpay без vps,mid,high-conversion,/auto-delivery-funpay,money,P0,Автовыдача FunPay без VPS,Автовыдача FunPay без VPS
G,автоподнятие funpay без компьютера,mid,high-conversion,/auto-raise-lots-funpay,money,P0,Автоподнятие FunPay без компьютера,Автоподнятие FunPay без компьютера
G,ai автоответы funpay для продавца,mid,high-conversion,/funpay-auto-reply,money,P0,AI автоответы FunPay для продавца,AI автоответы FunPay для продавца
G,облачный сервис для funpay продавцов,mid,high-conversion,/for-sellers,money,P0,Облачный сервис для продавцов FunPay,Облачный сервис для продавцов FunPay
G,funpay bot subscription,low,high-conversion,/pricing,money,P1,Подписка на FunPay bot сервис,Подписка на FunPay bot сервис
G,автоматизация funpay под ключ,mid,high-conversion,/funpay-automation,money,P1,Автоматизация FunPay под ключ,Автоматизация FunPay под ключ
H,вps для funpay бота,mid,entity,/cloud-funpay-bot,comparison,P1,VPS для бота FunPay: нужен ли?,VPS для бота FunPay: нужен ли
H,прокси для funpay бота,mid,entity,/cloud-funpay-bot,comparison,P1,Прокси для бота FunPay: когда требуется,Прокси для бота FunPay
H,склад товаров funpay,mid,entity,/auto-delivery-funpay,feature,P1,Склад товаров FunPay для автовыдачи,Склад товаров FunPay для автовыдачи
H,лимиты ai funpay,low,entity,/funpay-auto-reply,feature,P2,Лимиты AI автоответов на FunPay,Лимиты AI автоответов на FunPay
H,funpay lot raise schedule,low,entity,/auto-raise-lots-funpay,feature,P2,Расписание поднятия лотов FunPay,Расписание поднятия лотов FunPay
H,funpay order automation,low,entity,/funpay-automation,feature,P2,Автоматизация заказов FunPay,Автоматизация заказов FunPay
